,Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year
0,Barrister Parvateesarrn,R. Prakash,Motion Pictures Combines,unknown,"Lanka Satyam, ",Comedy,1940,1940
1,Bhoja Kalidasu,H. V. Babu,Jaya Films,unknown,"Adhanki Srirama Murthy, Parepalli Subba Rao, ",Mythology,1940,1940
2,Bhookailas,Sundar Rao Nadkarni,Saraswathi Cine Films,unknown,M. V. Subbiah Naidu,Devotional,1940,1940
3,Bondam Pelli,H. M. Reddy,Madras United Artistes Corporation,unknown,L. V. Prasad,Comedy,1940,1940
4,Chaduvukunna Bharya,H. M. Reddy,Madras United Artistes Corporation,unknown,"Lanka Satyam, ",Comedy,1940,1940
5,Chandika,R. S. Prakash,Bhavani Pictures,unknown,P. Kannamba,Adventure,1940,1940
6,Illalu,Gudavalli Ramabrahmam,Indira Devi Films,unknown,"V. Umamaheswara Rao, ",Family,1940,1940
7,Jeevana Jyothi,China Kameswara Rao Dronamraju,M. R. A. Productions,unknown,"Ch. Narayana Rao, ",Drama,1940,1940
8,Kalachakram,Amancharla Gopala Rao,Naveena Bharath,unknown,Banda Kanakalingeshwara Rao,Drama,1940,1940
9,Mahiravana,Ch. Narayana Murthy,Kubera Pictures,unknown,Vemuri Gaggaiah,Mythology,1940,1940
10,Malathi Madhavam,C. Pullaiah,Metropolitan Pictures,unknown,Pushpavalli,Folklore,1940,1940
11,Meerabai,B. Narasimha Rao,Navyakala Films,unknown,Govindarajula Subba Rao,Devotional,1940,1940
12,Sumangali,B. N. Reddy,Vauhini Studios,unknown,"A. S. Giri, ",Social,1940,1940
13,Viswa Mohini,Y. V. Rao,Sri Jagadesh Films,unknown,Chittor V. Nagaiah,Drama,1940,1940
14,Apavadu,Gudavalli Ramabrahmam,Kasturi Films,unknown,Kalyanam Raghuramaiah,"Drama
",1941,1941
15,Bhaktimala,Haribhai Raghunathji Desai,Bhaskar Pictures,unknown,B. R. Panthulu,"Drama
",1941,1941
16,Chandrahasa,M. L. Rangaiah,Vani Pictures,unknown,"G. N. Swami, ","Folklore
",1941,1941
17,Choodamani,P. K. Raja Sandow,Janaki Pictures,unknown,Pushpavalli,"Drama
",1941,1941
18,Dakshayagnam,Ch. Narayana Murthy,Sobhanachala Pictures,unknown,Vemuri Gaggaiah,"Mythology
",1941,1941
19,Devatha,B. N. Reddy,Vauhini Studios,unknown,Chittor V. Nagaiah,"Drama
",1941,1941
20,Dharma Patni,P. Pullaiah,Famous Films,unknown,Santha Kumari,"Drama
",1941,1941
21,Mahatma Gandhi,A. K. Chettiar,Hemalatha Films,unknown,"Bezawada Rajarathnam, ","Documentary
",1941,1941
22,Parvati Kalyanam,Ghantasala Balaramayya,Pratibha Films,unknown,"Parepalli Subba Rao, ","Devotional
",1941,1941
23,Talli Prema,Jyotish Sinha,Raja Rajeswari Films,unknown,C. S. R. Anjaneyulu,"Drama
",1941,1941
24,Tara Sasankam,R. S. Prakash,R. S. P. Pictures,unknown,P. Suri Babu,"Mythology
",1941,1941
25,Tarumaru,N. Jagannath,Vel Pictures,unknown,"Parabrahma Sri, Hemalatha, Dr. Sivarama Krishnaiah","Drama
",1941,1941
26,Tenali Ramakrishna,H. M. Reddy,Rohini Pictures,unknown,"S. P. Lakshmana Swamy, Parepalli Subba Rao, P. Ramatilakam, P. Ansuya, ","Folklore
",1941,1941
27,Babruvahana,R. S. Prakash,unknown,unknown,K. S. Prakash Rao,"Drama
",unknown,1942
28,Bala Nagamma,C. Pullaiah,Gemini Studios,unknown,Kanchanamala,"Folklore
",unknown,1942
29,Bhakta Potana,K. V. Reddy,Vauhini Studios,unknown,Chittor V. Nagaiah,"Biography
",unknown,1942
30,Bhakta Prahlada,Ch. Narayana Murthy,Sobhanachal Productions,unknown,Vemuri Gaggaiah,"Mythology
",unknown,1942
31,Deena Bandhu,M. L. Tandon,Rupavani Production,unknown,C. H. Narayana Rao,"Drama
",unknown,1942
32,Gharana Donga,H. M. Reddy,unknown,unknown,L. V. Prasad,"Drama
",unknown,1942
33,Jeevana Mukthi,T. V. Neelakantan,Gemini Studios,unknown,P. Suribabu,"Devotional
",unknown,1942
34,Patni,Gudavalli Ramabrahmam,Saradhi Films,unknown,K. S. Prakash Rao,"Epic
",unknown,1942
35,Satyabhama,Y. V. Rao,Jagadish Films,unknown,Y. V. Rao,"Mythology
",unknown,1942
36,Satyame Jayam,H. M. Reddy,Rohini Pictures,unknown,unknown,"Drama
",unknown,1942
37,Shanta Bala Nagamma,S. V. S. Rama Rao,Royal Pictures,unknown,"M. Krishna Rao, ","Folklore
",unknown,1942
